,SDP,p,q,Phylo
1,bapis,0.0938616938616939,0.120259580978332,bapis
2,bifido_1.1,0.623594278712037,0.590288525777342,bifido
3,bifido_1.2,0.0616622070406442,0.0877824816945119,bifido
4,bifido_1.3,0.222222222222222,0.258836846476542,bifido
5,bifido_1.4,0.645002024987871,0.590288525777342,bifido
6,bifido_1.5,1,0.753671994152285,bifido
7,bifido_2,0.844582043343653,0.676321447384024,bifido
8,firm4_1,0.000840366953155333,0.0053835688179362,firm4
9,firm4_2,0.247337822157543,0.264083085344242,firm4
10,firm5_1,0.00213770975632131,0.00826845172133649,firm5
11,firm5_2,0.00541795665634675,0.0138834314712263,firm5
12,firm5_3,3.56337737639654e-05,0.000456555014641605,firm5
13,firm5_4,0.724268503791521,0.618642339228147,firm5
14,fper_1,0.0511618110996111,0.0819383514162586,fper
15,gilli_1,0.00258138562554318,0.00826845172133649,gilli
16,gilli_2,0.0203508223869055,0.0372490518780894,gilli
17,snod_1,0.0175303126003086,0.0372490518780894,snod
