,SDP,p,q,Phylo
1,bapis,0.00932400932400932,0.0317016317016317,bapis
2,bifido_1.1,0.394947706151434,0.592894941687471,bifido
3,bifido_1.2,2.60698875323875e-05,0.000221594044025293,bifido
4,bifido_1.3,0.222222222222222,0.472222222222222,bifido
5,bifido_1.4,0.0924201660324757,0.261857137092015,bifido
6,bifido_1.5,0.533333333333333,0.647619047619048,bifido
7,bifido_2,0.973349312001467,0.973349312001466,bifido
8,firm4_1,0.34705979341778,0.590001648810226,firm4
9,firm4_2,0.418514076485274,0.592894941687471,firm4
10,firm5_1,0.289497991803001,0.546829540072334,firm5
11,firm5_2,0.930312481049238,0.973349312001466,firm5
12,firm5_3,0.0042658194389123,0.0181297326153773,firm5
13,firm5_4,0.803376861651417,0.910493776538273,firm5
14,fper_1,0.480291297255048,0.628073234871985,fper
15,gilli_1,0.217175803223259,0.472222222222222,gilli
16,gilli_2,0.000409155819405472,0.00231854964329768,gilli
17,snod_1,4.91835530198702e-06,8.36120401337793e-05,snod
