Cluster	Sample	Cov_ter	Ptr	Diff
bifido_1.3	N15	4.09078123957293	1.30383408147164	0.52598837855
bifido_1.3	N16	5.12247097989838	1.43998863613793	0.763410508300001
bifido_1.4	F01	58.66	NA	NA
bifido_1.4	F02	145.67	NA	NA
bifido_1.4	F03	93.76	NA	NA
bifido_1.4	F04	124.96	NA	NA
bifido_1.4	F06	107.58	NA	NA
bifido_1.4	F07	147.34	NA	NA
bifido_1.4	F08	184.78	NA	NA
bifido_1.4	F09	159.51	NA	NA
bifido_1.4	F10	192.67	NA	NA
bifido_1.4	F11	87.02	NA	NA
bifido_1.4	F12	81.59	NA	NA
bifido_1.4	F13	49.14	NA	NA
bifido_1.4	F14	32.61	NA	NA
bifido_1.4	F15	25.44	NA	NA
bifido_1.4	F16	16.43	NA	NA
bifido_1.4	N01	188.25	NA	NA
bifido_1.4	N02	76.07	NA	NA
bifido_1.4	N03	115.45	NA	NA
bifido_1.4	N04	94.11	NA	NA
bifido_1.4	N06	76.59	NA	NA
bifido_1.4	N07	70.42	NA	NA
bifido_1.4	N08	124.67	NA	NA
bifido_1.4	N09	81.62	NA	NA
bifido_1.4	N10	115.15	NA	NA
bifido_1.4	N11	85.53	NA	NA
bifido_1.4	N12	69.73	NA	NA
bifido_1.4	N13	139.84	NA	NA
bifido_1.4	N14	63.87	NA	NA
bifido_1.4	N15	81.75	NA	NA
bifido_1.4	N16	94.71	NA	NA
bifido_1.5	F01	15.651385131476	1.61448969453716	0.4954880441
bifido_1.5	F02	20.0545864431718	1.55784186128841	1.811874272
bifido_1.5	F03	21.5626700106792	1.52314161389726	0.746214944000002
bifido_1.5	F04	25.9607368061811	1.41442657483655	0.751556040999994
bifido_1.5	F06	24.6440384063825	1.67067856550398	0.877266732999999
bifido_1.5	F07	13.4026877471828	1.48940275089196	0.1359021725
bifido_1.5	F08	24.3805620614317	1.53412708959522	1.319880718
bifido_1.5	F09	21.5431927452403	1.37531263547953	0.3386251911
bifido_1.5	F10	24.5523721760511	1.5767338651196	0.912556679000005
bifido_1.5	F11	18.0091056113802	1.51174379041878	1.005153579
bifido_1.5	F12	29.6742466278624	1.54923911638028	2.619503625
bifido_1.5	F13	16.2366138118748	1.54059216347843	0.542747653799999
bifido_1.5	F14	4.46758621154201	1.2790351947182	0.018685284
bifido_1.5	F15	2.6562942183614	1.39510148175002	0.0974762772300002
bifido_1.5	F16	0	NA	NA
bifido_1.5	N01	17.9768724670827	1.53502785595931	0.690472070200002
bifido_1.5	N02	9.49926210290675	1.46063976861469	0.123816597400001
bifido_1.5	N03	7.99614229814221	1.59960313014586	0.0476542491999989
bifido_1.5	N04	11.6997166909724	1.51037845332059	0.123412629499999
bifido_1.5	N06	5.43276857839953	1.44856161024226	0.1290009452
bifido_1.5	N07	5.82713165748661	1.47525801718506	0.00602269489999863
bifido_1.5	N08	8.43258419017637	1.47689008720582	0.0182246194000015
bifido_1.5	N09	14.4577479909233	1.44328108334716	0.3355941831
bifido_1.5	N10	13.4588202519729	1.49753095907834	0.657667006200001
bifido_1.5	N11	12.9544645688433	1.45759830501324	0.493405597900001
bifido_1.5	N12	6.1501415054456	1.56938093140683	0.2612148041
bifido_1.5	N13	19.5032514472306	1.50774859666672	0.107135724999999
bifido_1.5	N14	1.95024483010807	1.455724143226	0.10371848439
bifido_1.5	N15	3.88935295822137	1.50372055784687	0.2153520459
bifido_1.5	N16	2.59797579212591	1.47661774179229	0.0225171474000003
bifido_2	F01	49.5062084270889	1.54643230480379	0.0863414500000061
bifido_2	F02	28.0853312098004	1.61346428804754	0.483678925
bifido_2	F03	21.5120011769605	1.55010663469625	0.61289575
bifido_2	F04	26.0137079173003	1.5673659491227	0.115870625000007
bifido_2	F06	26.3703610889496	1.60460449734727	0.884612499999996
bifido_2	F07	23.5438717332137	1.52791352278955	0.0658746249999993
bifido_2	F08	28.8561880879511	1.60508439416291	0.457617175000003
bifido_2	F09	30.0999536405194	1.53070003197536	0.7454003
bifido_2	F10	23.3170095872115	1.55860466858204	0.212917374999996
bifido_2	F11	24.6119813241709	1.60474687022502	1.49939005
bifido_2	F12	31.9597147750239	1.50229751228949	0.920831024999991
bifido_2	F13	25.930116428716	1.53778715609009	1.256215875
bifido_2	F14	29.6583282781515	1.42121968590696	0.574888100000003
bifido_2	F15	13.2918695059758	1.46594006085749	0.8790839925
bifido_2	F16	27.1619853242787	1.53339306765515	1.62382315
bifido_2	N01	21.3667303650297	1.64639134762401	0.980072799999995
bifido_2	N02	12.8217965899634	1.6065611285804	0.532930002499999
bifido_2	N03	21.6610607259287	1.67512572256289	1.74285015
bifido_2	N04	22.6256888291864	1.60445415823857	1.491880525
bifido_2	N06	28.6285219083045	1.47988778937659	0.580132724999999
bifido_2	N07	32.015681515047	1.47212234035527	0.409644174999997
bifido_2	N08	20.5554928950416	1.53214521105437	0.777468499999998
bifido_2	N09	26.2724247333297	1.61450648086505	1.0634866
