Cluster	Sample	Cov_ter	Ptr	Diff
firm4_1	F01	26.1800936858087	1.83845789773052	1.943337841
firm4_1	F02	33.0779388056162	1.71872861649854	0.891475956999997
firm4_1	F03	29.4183967249193	1.56429326962672	0.840248918999997
firm4_1	F04	98.7881582559268	1.28314974423966	1.06144779600001
firm4_1	F06	116.35532597826	1.36255043477444	4.387746994
firm4_1	F07	148.489122730068	1.4207774692259	4.48131215499998
firm4_1	F08	320.942442309075	1.44614715542369	4.73139702999998
firm4_1	F09	159.317889688897	1.2454972909036	2.831345035
firm4_1	F10	171.315892067791	1.43080713085862	10.342367977
firm4_1	F11	150.707224297313	1.32236527432052	5.73301486400001
firm4_1	F12	166.21973192057	1.32240617561	5.76301638000001
firm4_1	F13	116.378706045157	1.44038377549031	5.84653790699997
firm4_1	F14	87.0531916464801	1.33596480267249	3.13610287900001
firm4_1	F15	52.6004189478326	1.4721365637182	2.36279005999999
firm4_1	F16	95.640226152186	1.3147187648837	4.156138246
firm4_1	N01	148.730625605395	1.46990573804236	8.57209561799999
firm4_1	N02	185.733134816427	1.40039632808155	9.23622217400003
firm4_1	N03	220.963809019267	1.52477458410677	12.94951237
firm4_1	N04	202.159880498859	1.44113658595898	5.530423171
firm4_1	N06	198.892796469874	1.44811680016589	9.51888796399999
firm4_1	N07	191.687224866082	1.3374391547434	8.45135071999999
firm4_1	N08	197.559268443042	1.51660816706447	10.052986295
firm4_1	N09	237.510741218576	1.37930604030458	11.0682277880001
firm4_1	N10	351.512939486645	1.5227035476466	15.8655139799999
firm4_1	N11	266.20360294625	1.3679003438339	5.30958082999996
firm4_1	N12	258.638246423293	1.37539596296908	9.45689639700004
firm4_1	N13	353.009369834719	1.36511957239443	9.71181003999993
firm4_1	N14	356.697729358815	1.31884775618175	9.51890238999999
firm4_1	N15	293.473769949403	1.3996140100385	7.94848559000002
firm4_1	N16	272.916000907859	1.40940801829301	12.36437243
firm4_2	F01	28.138743827129	1.36478802095546	0.190420499999995
firm4_2	F02	41.3824463448086	1.43114354590179	0.475220999999998
firm4_2	F03	33.0167330484174	1.36630719743976	1.18115275
firm4_2	F04	47.1493881970401	1.27399320112007	0.686123249999994
firm4_2	F06	42.6976544488879	1.38281600622064	0.947404749999997
firm4_2	F07	46.8266593189576	1.33814296516839	0.146764749999996
firm4_2	F08	50.6250069498185	1.38041653148357	1.0845965
firm4_2	F09	56.3446385458934	1.24667617119925	0.806518249999996
firm4_2	F10	41.5471160309149	1.28705147573206	0.00127700000000175
firm4_2	F11	43.2499019167232	1.26610691754717	1.49823775
firm4_2	F12	39.7364562290599	1.28357265192409	0.968628500000001
firm4_2	F13	23.5155512640244	1.38163888378434	0.494921249999997
firm4_2	F14	30.0092709127555	1.25122229507549	0.666268825000003
firm4_2	F15	27.4795051676997	1.28240725260301	0.0109167250000013
firm4_2	F16	32.1221271895879	1.26383286388204	0.742802575000006
firm4_2	N01	46.5310714375854	1.36996630489169	1.880466
firm4_2	N02	32.2943351474575	1.35516027192297	0.120244250000006
firm4_2	N03	31.0975193707213	1.43451956627771	0.427650999999997
firm4_2	N04	36.7960632460478	1.35122820524395	0.9118785
firm4_2	N06	46.1665100609762	1.27478433332449	1.21634375
firm4_2	N07	44.6349394521543	1.3336291362915	1.04845575
firm4_2	N08	31.897182383371	1.36874158586373	0.821489249999999
firm4_2	N09	55.792952559367	1.40026645689472	0.910916
firm4_2	N10	32.4261643166146	1.36964731062082	0.434408749999996
firm4_2	N11	46.5597922557344	1.21931962643171	0.491268500000004
firm4_2	N12	22.6623885029349	1.28788579682235	0.176568274999997
firm4_2	N13	38.6165393425515	1.32294247153594	0.419460000000001
firm4_2	N14	24.6977964647627	1.27250218637276	0.246370200000001
firm4_2	N15	15.9466780878812	1.25204759825015	0.000919424999999308
firm4_2	N16	27.5536428487585	1.25189355321684	0.936227850000002
